term,coef,se,t,p,n,r2,regime,model
const,0.9778607352105069,0.007027445041003224,139.14882713489132,0.0,176137,0.1995461073738215,everyday,density
ses_log10_density,-1.0166860634058135,0.008631816552700062,-117.78355774808382,0.0,176137,0.1995461073738215,everyday,density
const,0.7278434020736875,0.006144896754139859,118.44680735820899,0.0,176137,0.1105516282246306,emergency,density
ses_log10_density,-0.7567419537209379,0.005228797036895904,-144.72582285775252,0.0,176137,0.1105516282246306,emergency,density
